Mixture	B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA_EW_A3U0	0.0601772374596108	0	0.0625571038636442	0.166496258346587	0	0.0476825122362279	0.0826625584002674	0.0775110523705386	0.0365080994883814	0.00184323406633528	0	0.0118908884132566	0.00752812071478096	0.174661498850723	0.102754522553016	0.0966746578714644	0.0210626937942361	0	0.0499895615709309	0	0	0	9999	0.530733098425758	0.857281193224845
TCGA_A7_A6VV	0.0332216456860216	0	0.0291146882718004	0.00242406252489486	0	0.058707454251715	0	0.0497155437938413	0.021460055841766	0.0116464216616355	0	0	0	0.579551844479599	0.0950519494108394	0.0989252903089996	0	0	0.0201810437688871	0	0	0	9999	0.616675804972109	0.789805006336385
TCGA_C8_A26Y	0.0439163488349138	0	0.00831175759536607	0.0641622583267845	0	0.0567632459622272	0	0.150370841840396	0.0127346137656304	0	0	0.00739672335526152	0	0.475942878178047	0.0607344255373133	0.102353919368856	0	0	0.0173129872352036	0	0	0	9999	0.414628021229484	0.925151128097087
TCGA_C8_A3M7	0.0304107316633905	0	0.313181907930665	0.0482229409832295	0	0.14104665981914	0	0	0	0	0	0.0490296071735721	0.00991344472563364	0.0322976872515435	0.106050079026807	0.0423958652716751	0.0123772500045844	0	0.215073826149759	0	0	0	9999	0.267561040707573	0.972016723984772
TCGA_E2_A14R	0	0	0.151329739764002	0.0910100725029389	0	0	0.0249976356613659	0.0685912633297087	0.00592658604940715	0.0525074624774398	0	0	0	0.366124385737761	0.136994560501176	0.0663422788025073	0.00704371873726703	0	0.0291322964364262	0	0	0	9999	0.521406101074977	0.852493944786902
TCGA_A7_A26G	0.0294543228446326	0	0.0826415368208807	0.0328272284533429	0	0.260239822753403	0	0.0481888926417534	0.00164739070006141	0.00792854346179503	0	0.0446938563431672	0	0.111544534307972	0.135357456803363	0.107041570963777	0.054173999135936	0	0.0842608447699157	0	0	0	9999	0.393430942439339	0.918702668874376
TCGA_AR_A1AR	0	0	0	0.0088927109911687	0	0.17962727839253	0.00482371980238964	0.0258054811482199	0.00852743421568297	0.057801759975735	0	0.0093648273937077	0	0.373560870905915	0.0966183856814766	0.204124477846108	0	0	0.0308530536470664	0	0	0	9999	0.660448871607585	0.755701133656214
TCGA_A8_A07C	0.0463346697506119	0	0.0869301983215404	0.0857870597399993	0	0.0949382702889728	0.0835154389467238	0.0774050436661335	0.00936728166327511	0.030425510072004	0	0.00585826029973708	0	0.14385611388579	0.0700873477483789	0.213170258431372	0.00645537130851396	0.00411302610449923	0.0417561497724481	0	0	0	9999	0.349584583950425	0.937085713818108
TCGA_A2_A3XY	0.0410197897258032	0	0.0282399826599677	0.0179034200156327	0	0.0797947007225236	0.0202387372561456	0.123010497845335	0.0284839319717449	0	0.0217652432651199	0	0	0.366541947179625	0.148075163999679	0.0696885273206707	0.0128375878775184	0	0.0424004701602341	0	0	0	9999	0.692369321834315	0.738427897887125
TCGA_BH_A0B3	0	0	0.197313760088065	0.0975336810656834	0	0.0658539631664751	0.0472589292671807	0.0553869054218871	0.0353984669885457	0	0	0.0297651437076148	0.010027875532582	0.109643244319583	0.167604146470967	0.0931411120014105	0.0476635012883916	0	0.040316105842265	0	0	0.00309316483935004	9999	0.487431413654837	0.874427862641418
